Force Input,Fx,Fy,Fz,Mx,My,Mz,Disturbance Force,Fx,Fy,Fz,Mx,My,Mz,Velocity,Lx,Ly,Lz,Ax,Ay,Az,Distance,front,left,right
,-0.1289165077231649,-0.05976356222769262,0.012570057421159395,0.03036897429118937,0.008120147062789549,0.041164849302789464,,0.0,0.0,0.0,0.0,0.0,0.0,,0.020090269543019606,0.011574703944579792,0.0,0.0,0.0,0.005700127980822846,, 0.00405833, 0.347994, 0.284617
,-0.1289165077231649,-0.05976356222769262,0.012570057421159395,0.03036897429118937,0.008120147062789549,0.041164849302789464,,0.0,0.0,0.0,0.0,0.0,0.0,,0.020090269543019606,0.011574703944579792,0.0,0.0,0.0,0.005700127980822846,, 0.00405833, 0.347994, 0.284617
,-0.1289165077231649,-0.05976356222769262,0.012570057421159395,0.03036897429118937,0.008120147062789549,0.041164849302789464,,0.0,0.0,0.0,0.0,0.0,0.0,,0.020090269543019606,0.011574703944579792,0.0,0.0,0.0,0.005700127980822846,, 0.00304707, 0.348479, 0.284206
,-0.1289165077231649,-0.05976356222769262,0.012570057421159395,0.03036897429118937,0.008120147062789549,0.041164849302789464,,0.0,0.0,0.0,0.0,0.0,0.0,,0.020090269543019606,0.011574703944579792,0.0,0.0,0.0,0.005700127980822846,, 0.00304707, 0.348479, 0.284206
,-0.1289165077231649,-0.05976356222769262,0.012570057421159395,0.03036897429118937,0.008120147062789549,0.041164849302789464,,0.0,0.0,0.0,0.0,0.0,0.0,,0.020090269543019606,0.011574703944579792,0.0,0.0,0.0,0.005700127980822846,, 0.00304707, 0.348479, 0.284206
,-0.1289165077231649,-0.05976356222769262,0.012570057421159395,0.03036897429118937,0.008120147062789549,0.041164849302789464,,0.0,0.0,0.0,0.0,0.0,0.0,,0.020090269543019606,0.011574703944579792,0.0,0.0,0.0,0.005700127980822846,, 0.00304707, 0.348479, 0.284206
,-0.1289165077231649,-0.05976356222769262,0.012570057421159395,0.03036897429118937,0.008120147062789549,0.041164849302789464,,0.0,0.0,0.0,0.0,0.0,0.0,,0.020090269543019606,0.011574703944579792,0.0,0.0,0.0,0.005700127980822846,, 0.00262119, 0.348705, 0.284009
,-1.7190607475716413,-0.6647940944313935,0.5165872258518163,0.24722944892268423,0.014860146061664229,0.22458186203954794,,0.0,0.0,0.0,0.0,0.0,0.0,,0.019110455535470767,0.011010198971968782,0.0,0.0,0.0,0.004942180506236382,, 0.00166777, 0.349196, 0.283582
,-1.7190607475716413,-0.6647940944313935,0.5165872258518163,0.24722944892268423,0.014860146061664229,0.22458186203954794,,0.0,0.0,0.0,0.0,0.0,0.0,,0.019110455535470767,0.011010198971968782,0.0,0.0,0.0,0.004942180506236382,, 0.00166777, 0.349196, 0.283582
,-1.7190607475716413,-0.6647940944313935,0.5165872258518163,0.24722944892268423,0.014860146061664229,0.22458186203954794,,0.0,0.0,0.0,0.0,0.0,0.0,,0.019110455535470767,0.011010198971968782,0.0,0.0,0.0,0.004942180506236382,, 0.00166777, 0.349196, 0.283582
,-1.7190607475716413,-0.6647940944313935,0.5165872258518163,0.24722944892268423,0.014860146061664229,0.22458186203954794,,0.0,0.0,0.0,0.0,0.0,0.0,,0.019110455535470767,0.011010198971968782,0.0,0.0,0.0,0.004942180506236382,, 0.00139229, 0.349346, 0.28345
,-2.783848753839204,-0.8017078106325749,0.20569787435056752,0.25623220801056634,-0.06540128695013425,0.09943822948955905,,0.0,0.0,0.0,0.0,0.0,0.0,,0.01836112385587037,0.010578482895233374,0.0,0.0,0.0,0.004744658447072918,, 0.000401108, 0.349915, 0.282939
,-2.783848753839204,-0.8017078106325749,0.20569787435056752,0.25623220801056634,-0.06540128695013425,0.09943822948955905,,0.0,0.0,0.0,0.0,0.0,0.0,,0.01836112385587037,0.010578482895233374,0.0,0.0,0.0,0.004744658447072918,, 0.000401108, 0.349915, 0.282939
,-2.783848753839204,-0.8017078106325749,0.20569787435056752,0.25623220801056634,-0.06540128695013425,0.09943822948955905,,0.0,0.0,0.0,0.0,0.0,0.0,,0.01836112385587037,0.010578482895233374,0.0,0.0,0.0,0.004744658447072918,, 0.000401108, 0.349915, 0.282939
,-2.783848753839204,-0.8017078106325749,0.20569787435056752,0.25623220801056634,-0.06540128695013425,0.09943822948955905,,0.0,0.0,0.0,0.0,0.0,0.0,,0.01836112385587037,0.010578482895233374,0.0,0.0,0.0,0.004744658447072918,, 0.000401108, 0.349915, 0.282939
,-3.891664166995503,-0.7278308889918825,0.6288315228532801,0.19903843247469336,-0.07485938709490687,-0.1674210214915233,,0.0,0.0,0.0,0.0,0.0,0.0,,0.016182545239564184,0.010062564196523493,0.0,0.0,0.0,0.004055246860486899,, 0.00033613, 0.350351, 0.282543
,-3.891664166995503,-0.7278308889918825,0.6288315228532801,0.19903843247469336,-0.07485938709490687,-0.1674210214915233,,0.0,0.0,0.0,0.0,0.0,0.0,,0.016182545239564184,0.010062564196523493,0.0,0.0,0.0,0.004055246860486899,, 0.00033613, 0.350351, 0.282543
,-3.891664166995503,-0.7278308889918825,0.6288315228532801,0.19903843247469336,-0.07485938709490687,-0.1674210214915233,,0.0,0.0,0.0,0.0,0.0,0.0,,0.016182545239564184,0.010062564196523493,0.0,0.0,0.0,0.004055246860486899,, 0.00033613, 0.350351, 0.282543
,-3.891664166995503,-0.7278308889918825,0.6288315228532801,0.19903843247469336,-0.07485938709490687,-0.1674210214915233,,0.0,0.0,0.0,0.0,0.0,0.0,,0.016182545239564184,0.010062564196523493,0.0,0.0,0.0,0.004055246860486899,, 0.00033613, 0.350351, 0.282543
